Iteration,Time,Size
1,2.2363e-05,110
2,1.5113e-05,260
3,2.7793e-05,460
4,7.9061e-05,710
5,6.5059e-05,1010
6,9.0049e-05,1360
7,0.0001603,1760
8,0.000207854,2210
9,0.00019603,2710
10,0.00026997,3260
11,0.000317452,3860
12,0.00044714,4510
13,0.00047129,5210
14,0.000577437,5960
15,0.000600056,6760
16,0.000712955,7610
17,0.000859362,8510
18,0.00082232,9460
19,0.000876097,10460
20,0.00104348,11510
21,0.00111693,12610
22,0.00121663,13760
23,0.00139783,14960
24,0.00177947,16210
25,0.00172159,17510
26,0.0017248,18860
27,0.00197591,20260
28,0.00204719,21710
29,0.00233314,23210
30,0.00240504,24760
31,0.00249943,26360
32,0.00261875,28010
33,0.00289317,29710
34,0.00380477,31460
35,0.00346367,33260
36,0.00350688,35110
37,0.00362326,37010
38,0.00417671,38960
39,0.00411369,40960
40,0.00486206,43010
41,0.0049345,45110
42,0.00481456,47260
43,0.00519767,49460
44,0.00530998,51710
45,0.00566116,54010
46,0.00601403,56360
47,0.00621998,58760
48,0.00674653,61210
49,0.00689907,63710
50,0.00685495,66260
51,0.00788335,68860
52,0.00809346,71510
53,0.00774869,74210
54,0.00817412,76960
55,0.00959389,79760
56,0.0112093,82610
57,0.00904888,85510
58,0.00951242,88460
59,0.0112513,91460
60,0.0102196,94510
61,0.0106719,97610
62,0.0106728,100760
63,0.0110072,103960
64,0.0118904,107210
65,0.0128395,110510
66,0.0123295,113860
67,0.0168712,117260
68,0.0137846,120710
69,0.0139237,124210
70,0.0149182,127760
